"Name: SkuLevels"
"Date/Time: 2025-06-04 13:45:27"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70913,1100799,temp sensor,310.70,D,1,2,1,2,,,,,,,9,2,1G02E06,Auto Approved,0.7604,"=""1000""",Planned,9.00
70913,1102230,hexagon screw,53.79,D,-1,0,-1,0,,,,,,,0,2,1H10K01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1102231,hexagon screw,215.17,D,-1,0,-1,0,,,,,,,0,2,1L07D02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1103293,washer,22.13,D,-1,0,-1,0,,,,,,,0,0,1L06D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1104069,shim,41.99,D,-1,0,-1,0,,,,,,,0,2,1K03D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1104545,brake shoe,"2,210.67",D,-1,0,-1,0,,,,,,,0,0,1E07A01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1105776,roller bearing,804.50,D,-1,0,-1,0,,,,,,,0,0,1F01C05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1107097,O-ring,12.79,D,4,6,4,6,,,,,,,25,9,1L12E02,Auto Approved,1.8924,"=""1000""",Planned,9.00
70913,1107981,retaining ring,15.43,D,-1,0,-1,0,,,,,,,0,5,1L10C05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1108053,screw,36.05,D,-1,0,-1,0,,,,,,,1,1,1H01C03,Auto Approved,0.2000,"=""1000""",Planned,9.00
70913,1109368,nut,310.03,D,-1,0,-1,0,,,,,,,0,0,1L11C02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1109869,sealing ring,35.49,D,-1,0,-1,0,,,,,,,0,1,1K02B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1112539,ball joint hous,133.69,D,-1,0,-1,0,,,,,,,0,5,1K05H02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1112540,latch clamp,12.25,D,-1,0,-1,0,,,,,,,0,8,1L09F06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1114861,centre bolt,149.19,D,-1,0,-1,0,,,,,,,0,0,1G05G05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1115475,spacing ring,736.64,D,-1,0,-1,0,,,,,,,0,2,1F09B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1115642,shim,15.91,D,-1,0,-1,0,,,,,,,0,0,1L11D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1115762,shaft,47.52,D,-1,0,-1,0,,,,,,,0,1,1F01F03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1115769,screw,7.76,D,-1,0,-1,0,,,,,,,0,7,1L02C02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1116362,buffer,35.15,D,-1,0,-1,0,,,,,,,0,2,1L02B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1116475,cone,"1,428.74",D,-1,0,-1,0,,,,,,,0,0,1F05E06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1117285,oil filter,56.86,D,-1,0,-1,0,,,,,,,1,0,3B01E02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1118010,temp monitor,"1,612.11",D,-1,0,-1,0,,,,,,,0,0,1G02B05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1118030,int. ring gear,"3,291.59",D,0,1,0,1,,,,,,,3,1,1F02A04,Auto Approved,0.1667,"=""1000""",Planned,9.00
